Sex,Age,Height,Weight,Team,Sport,Event,Medal
1,19.0,183.0,77.0,429,11,152,1
1,20.0,172.0,76.0,143,34,353,1
1,30.0,182.0,80.0,271,43,433,1
1,21.0,182.0,78.0,395,25,300,0
1,37.0,182.0,72.0,365,37,388,1
1,31.0,180.0,65.0,261,3,64,1
1,32.0,163.0,58.0,119,47,499,0
1,31.0,196.0,90.0,376,6,108,1
1,22.0,172.0,64.0,200,16,243,0
0,26.0,173.0,60.0,287,12,187,1
1,23.0,185.0,130.0,310,54,532,0
0,20.0,170.0,65.0,200,44,481,0
1,23.0,175.0,79.0,376,36,368,0
0,24.0,164.0,50.0,205,18,260,1
1,30.0,187.0,113.0,73,36,371,1
1,26.0,176.0,72.0,156,24,298,1
0,25.0,173.0,63.0,429,44,476,1
1,27.0,181.0,103.0,376,3,55,0
0,22.0,172.0,70.0,156,0,8,1
1,27.0,193.0,127.0,162,54,525,0
1,45.0,188.0,72.0,24,16,237,1
1,22.0,191.0,97.0,41,11,144,0
1,25.0,192.0,90.0,122,33,337,1
1,29.0,179.0,82.0,376,37,395,1
1,22.0,188.0,84.0,380,48,507,0
0,27.0,172.0,55.0,200,3,86,0
1,21.0,173.0,68.0,271,14,196,1
1,29.0,191.0,90.0,24,33,342,1
0,28.0,170.0,56.0,429,19,262,1
0,23.0,189.0,79.0,83,52,518,1
1,47.0,173.0,68.0,429,16,239,0
0,28.0,170.0,66.0,429,48,510,1
1,25.0,187.0,84.0,376,14,199,1
1,31.0,186.0,77.0,175,19,261,0
1,25.0,181.0,68.5,141,29,323,0
0,26.0,171.0,62.0,376,3,79,1
0,18.0,178.0,67.0,83,44,473,0
0,23.0,170.0,60.0,83,4,106,0
1,26.0,196.0,89.0,24,6,108,0
1,30.0,183.0,86.0,123,9,125,1
0,27.0,172.0,68.0,376,52,518,1
0,28.0,170.0,59.0,156,41,428,0
1,22.0,160.0,62.0,24,22,284,0
1,18.0,173.0,75.0,281,19,261,0
1,21.0,194.0,90.0,98,23,296,1
1,31.0,180.0,70.0,200,12,176,1
0,23.0,168.0,54.0,87,1,13,0
0,20.0,165.0,54.0,83,46,497,1
1,25.0,179.0,79.0,392,25,300,1
1,20.0,182.0,82.0,310,17,248,0
0,20.0,172.0,64.0,156,19,262,1
1,22.0,180.0,67.0,429,10,140,0
1,28.0,170.0,65.0,336,8,116,1
0,19.0,159.0,50.0,429,15,229,1
1,30.0,173.0,76.0,164,4,104,0
0,23.0,164.0,63.0,200,38,410,0
1,26.0,174.0,76.0,376,11,144,1
1,31.0,190.0,95.0,166,36,356,0
0,19.0,183.0,80.0,327,33,349,1
0,27.0,185.0,79.0,429,52,518,1
1,25.0,181.0,80.0,395,0,1,0
1,25.0,171.0,75.0,185,54,531,1
1,26.0,197.0,94.0,376,23,296,1
0,29.0,168.0,64.0,73,0,9,0
1,19.0,181.0,80.0,143,44,466,1
0,20.0,157.0,66.0,429,11,169,0
1,21.0,173.0,63.0,143,22,287,0
0,23.0,170.0,57.0,162,44,483,1
1,22.0,183.0,83.0,457,33,339,0
1,31.0,182.0,78.0,200,17,247,1
1,22.0,191.0,85.0,156,14,205,1
1,22.0,192.0,86.0,429,6,108,1
0,16.0,153.0,47.0,205,44,479,0
0,27.0,164.0,58.0,141,14,220,0
1,24.0,171.0,74.0,105,12,177,0
1,31.0,180.0,70.0,429,12,173,0
0,19.0,170.0,59.0,83,44,473,0
1,28.0,198.0,100.0,11,6,108,0
0,33.0,165.0,56.0,429,12,187,0
1,24.0,161.0,59.0,205,55,544,1
1,24.0,190.0,82.0,461,44,469,0
1,29.0,178.0,75.0,83,13,193,0
1,24.0,178.0,75.0,143,0,2,1
1,49.0,173.0,68.0,156,16,242,1
1,21.0,180.0,75.0,217,17,249,0
1,25.0,195.0,90.0,300,44,457,0
1,22.0,183.0,70.0,162,14,210,1
0,25.0,168.0,51.0,429,3,75,0
1,27.0,186.0,75.0,156,14,200,1
0,26.0,174.0,74.0,65,33,345,1
1,27.0,178.0,70.0,126,6,108,0
0,21.0,163.0,52.0,65,22,292,0
1,25.0,163.0,54.0,82,3,25,0
1,31.0,168.0,62.0,143,22,287,0
1,40.0,176.0,60.0,14,17,247,0
1,22.0,180.0,75.0,429,3,50,1
0,22.0,165.0,56.0,73,15,231,1
1,26.0,187.0,82.0,24,3,67,1
